param_0,param_1,mean,se_mean,std,se_std,p10,se_p10,p25,se_p25,median,se_median,p75,se_p75,p90,se_p90,n_seeds
0.175,0.02209708691207961,124.218164,0.6428109494417956,68.97101703660316,0.6936618660020277,30.49,0.12267638301439665,66.13,0.23980421306987204,123.34,0.619745793438607,179.77,1.2147955724434802,217.65,1.90943299003509,100
0.175,0.03125,114.439612,0.5516671679999188,59.56094125407581,0.5516979891989582,32.47,0.10195562512656912,65.26,0.21771077097373887,114.49,0.49102963353559526,162.53,1.0387886301754645,194.76,1.4686020288668813,100
0.175,0.04419417382415922,101.912042,0.3998481144492824,48.99759007795799,0.38243537771129976,34.98,0.08873977391647711,62.27,0.15298709260931295,101.72,0.3504917180825311,140.92,0.7536684692994405,168.08,1.041335583748005,100
0.175,0.0625,88.28995,0.19375075700862215,38.12429419580585,0.20465301604966935,37.09,0.0668104510060841,58.17,0.12065059327067418,87.67,0.19387333155147635,117.67,0.36654405663514106,139.75,0.5455744817635033,100
0.175,0.08838834764831845,74.94655399999999,0.11691042600178647,28.21110318252076,0.1224216932634273,37.84,0.0506921785850339,53.14,0.07388224318864349,74.02,0.13852031904337642,95.92,0.22682703774132626,113.23,0.32125228451021215,100
0.175,0.125,65.555594,0.06135463039040684,21.256696117216478,0.08174268639411823,37.95,0.04578165130223675,49.41,0.05876678784428628,64.75,0.07159792333764037,81.03,0.12984450685183396,94.24,0.2055394479083386,100
0.175,0.1767766952966369,59.220879999999994,0.046968508684871,16.2204953373338,0.060594278918891895,38.33,0.049349301265099337,47.07,0.03258245174347936,58.48,0.05592202363356254,70.71,0.09774735523043811,81.03,0.14103155317126376,100
0.175,0.25,55.436732,0.02826370184851613,12.733506805770022,0.0410445360736423,39.2,0.04020151261036849,46.14,0.0348735088019777,54.88,0.040898988651643604,64.18,0.06872577626503992,72.48,0.09896433394884943,100
0.175,0.3535533905932738,53.380551999999994,0.021148168795286696,10.471285724800971,0.03336183411548958,40.06,0.023868325657594204,45.99,0.010000000000000004,53.0,0.0,60.45,0.05388914922357194,67.18,0.078341392235355,100
0.175,0.5,52.22467400000001,0.014570067463776221,9.047952942524645,0.025745989951483795,40.88,0.032659863237109045,45.98,0.014070529413628973,52.0,0.01421338109037403,58.18,0.04353101761904372,64.06,0.06327748733981466,100
0.175,0.7071067811865476,51.591442,0.01201089885365485,8.134657748241098,0.022219240952279475,41.14,0.0348735088019777,46.0,0.0,51.14,0.034873508801977704,57.01,0.022450844172110858,62.2,0.05318160234783105,100
0.175,1.0,51.278614,0.012510062941003906,7.653845459522852,0.02335156321231788,41.72,0.04512608598542131,46.0,0.0,51.0,0.0,56.25,0.04351941398892446,61.24,0.05340903718028674,100
0.2,0.0009765625,100.55123999999999,0.7654310543039977,67.19871975622469,1.11457566503792,21.49,0.13295020712942712,47.07,0.2948223227983289,90.25,0.6040895980102972,141.61,1.1991491091013602,195.28,2.7525224427749535,100
0.2,0.0013810679320049757,102.496284,0.8914434344192184,70.01428163892132,1.2747102205734446,21.41,0.11899834478095088,46.85,0.2790224638869339,90.53,0.6168435454764519,144.29,1.4812835684300998,201.8,2.840330041997716,100
0.2,0.001953125,102.762642,0.7731843213818206,68.43237206676432,1.0443181382191342,21.51,0.12592686670276426,47.45,0.25951586627504075,92.52,0.6514133817626053,145.94,1.3148583669933904,199.37,2.698770951093228,100
0.2,0.0027621358640099515,103.455264,0.6839311181033815,69.14741543798029,0.9917260500731038,21.9,0.13142574813455418,48.06,0.23818336031577253,92.35,0.564143222734773,146.94,1.2438795615478067,201.6,2.4458994751265317,100
